Année;Remarque;Population au 1er janvier;Nombre de naissances vivantes;Nombre de décès;Solde naturel;Solde migratoire évalué;Ajustement (a)
1982;;55 572 624;823 260;550 724;;60 300;0
;;;775 441;567 755;;53 029;0
;;;787 429;550 259;;41 403;0
;;;796 138;560 393;;39 442;0
;;;805 543;554 738;;41 528;0
;;;795 790;535 389;;52 384;0
;;;800 560;532 527;;66 456;0
;;;796 101;537 527;;78 285;0
;;;793 071;534 386;;77 393;-52 344
;;;790 078;532 887;;88 397;-54 486
;;;774 755;529 814;;89 349;-53 525
;;;741 306;540 533;;70 340;-53 038
;;;740 774;528 121;;51 301;-53 454
;;;759 058;540 313;;42 193;-54 102
;;;764 028;544 604;;38 241;-53 902
;;;757 384;539 267;;43 279;-53 226
;;;767 906;543 409;;50 228;-51 407
;;;775 796;547 266;;62 500;94 455
;;;807 405;540 601;;72 000;94 456
;;;803 234;541 029;;87 000;94 455
;;;792 745;545 241;;97 000;94 456
;;;793 044;562 467;;102 000;94 455
;;;799 361;519 470;;105 128;94 456
;;;806 822;538 081;;92 192;94 647
;;;829 352;526 920;;112 141;0
;;;818 705;531 162;;73 626;0
;;;828 404;542 575;;56 812;0
;;;824 641;548 541;;32 339;0
;;;832 799;551 218;;38 880;0
;;;823 394;545 057;;29 504;0
;;;821 047;569 868;;72 336;0
;;;811 510;569 236;;100 130;0
;hors Mayotte;;811 384;558 727;;30 463;0
;inclus Mayotte;66130873;818 565;559 293;;32 324;0
;;;798 948;593 680;;40 238;-65 330
;;;783 640;593 865;;65 044;-82 982
;;;769 553;606 274;;154 661;-100 263
;;;758 590;609 648;;200 506;-83 625
;;;753 383;613 243;;127 621;-83 893
;(p);;735 196;668 922;;161 000;-34 000
;(p);;742 052;661 585;;161 000;-34 000
;(p);;723 000;667 000;;161 000;-17 000
;(p);;nd;nd;nd;nd;nd
;;;;;;;
a : du fait d'un changement de questionnaire, un ajustement a été introduit à partir de 2015 pour rendre comparables les niveaux de populations annuels successifs.;;;;;;;
[Insee, Note technique, 2020];;;;;;;
p : populations 2021, 2022, 2023, état civil 2022, soldes migratoires 2020, 2021, 2022 : résultats provisoires à fin 2022.;;;;;;;
nd : non disponible.;;;;;;;
Champ : France hors Mayotte jusqu en 2014 et France inclus Mayotte à partir de 2014;;;;;;;
Source : Insee, estimations de population et statistiques de l'état civil;;;;;;;
